SAMPLEID,LATITUDE,LONGITUDE,SAMPLETYPE,COLLARID,FROMDEPTH,TODEPTH,Cu_ppm,SPURIOUS,Dataset
19904539,-31.352734,121.5063,DRILLRC,931965,34.0,223809.0,26.0,0.0,Drillhole Original
19904538,-31.352734,121.5063,DRILLRC,931965,33.0,223808.0,25.0,0.0,Drillhole Original
19904537,-31.352734,121.5063,DRILLRC,931965,32.0,223807.0,82.0,0.0,Drillhole Original
19904332,-31.356218,121.50616,DRILLRC,931959,16.0,223502.0,83.0,0.0,Drillhole Original
19904333,-31.356218,121.50616,DRILLRC,931959,17.0,223503.0,254.0,0.0,Drillhole Original
19904334,-31.356218,121.50616,DRILLRC,931959,18.0,223504.0,166.0,0.0,Drillhole Original
19904335,-31.356218,121.50616,DRILLRC,931959,19.0,223505.0,108.0,0.0,Drillhole Original
19904346,-31.356218,121.50616,DRILLRC,931959,30.0,223516.0,26.0,0.0,Drillhole Original
19904338,-31.356218,121.50616,DRILLRC,931959,22.0,223508.0,32.0,0.0,Drillhole Original
19904340,-31.356218,121.50616,DRILLRC,931959,24.0,223510.0,40.0,0.0,Drillhole Original
19904341,-31.356218,121.50616,DRILLRC,931959,25.0,223511.0,95.0,0.0,Drillhole Original
19904342,-31.356218,121.50616,DRILLRC,931959,26.0,223512.0,335.0,0.0,Drillhole Original
19904343,-31.356218,121.50616,DRILLRC,931959,27.0,223513.0,585.0,0.0,Drillhole Original
19904344,-31.356218,121.50616,DRILLRC,931959,28.0,223514.0,276.0,1.0,Drillhole Original
19904345,-31.356218,121.50616,DRILLRC,931959,29.0,223515.0,59.0,0.0,Drillhole Original
19904347,-31.356218,121.50616,DRILLRC,931959,31.0,223517.0,25.0,0.0,Drillhole Original
19904348,-31.356218,121.50616,DRILLRC,931959,32.0,223518.0,24.0,0.0,Drillhole Original
19904349,-31.356218,121.50616,DRILLRC,931959,33.0,223519.0,22.0,0.0,Drillhole Original
19904350,-31.356218,121.50616,DRILLRC,931959,34.0,223520.0,21.0,0.0,Drillhole Original
19904337,-31.356218,121.50616,DRILLRC,931959,21.0,223507.0,52.0,0.0,Drillhole Original
19904336,-31.356218,121.50616,DRILLRC,931959,20.0,223506.0,80.0,0.0,Drillhole Original
19904339,-31.356218,121.50616,DRILLRC,931959,23.0,223509.0,21.0,0.0,Drillhole Original
19904329,-31.356218,121.50616,DRILLRC,931959,4.0,223499.0,84.0,0.0,Drillhole Original
19904330,-31.356218,121.50616,DRILLRC,931959,8.0,223500.0,101.0,0.0,Drillhole Original
19904331,-31.356218,121.50616,DRILLRC,931959,12.0,223501.0,84.0,0.0,Drillhole Original
19904372,-31.356213,121.505844,DRILLRC,931960,67.0,223542.0,35.0,0.0,Drillhole Original
19904387,-31.356213,121.505844,DRILLRC,931960,82.0,223557.0,28.0,0.0,Drillhole Original
19904388,-31.356213,121.505844,DRILLRC,931960,83.0,223558.0,28.0,0.0,Drillhole Original
19904390,-31.356213,121.505844,DRILLRC,931960,85.0,223560.0,27.0,0.0,Drillhole Original
19904391,-31.356213,121.505844,DRILLRC,931960,86.0,223561.0,28.0,0.0,Drillhole Original
19904392,-31.356213,121.505844,DRILLRC,931960,87.0,223562.0,29.0,0.0,Drillhole Original
19904374,-31.356213,121.505844,DRILLRC,931960,69.0,223544.0,49.0,0.0,Drillhole Original
19904358,-31.356213,121.505844,DRILLRC,931960,32.0,223528.0,106.0,0.0,Drillhole Original
19904357,-31.356213,121.505844,DRILLRC,931960,28.0,223527.0,80.0,0.0,Drillhole Original
19904378,-31.356213,121.505844,DRILLRC,931960,73.0,223548.0,72.0,0.0,Drillhole Original
19904377,-31.356213,121.505844,DRILLRC,931960,72.0,223547.0,304.0,1.0,Drillhole Original
19904376,-31.356213,121.505844,DRILLRC,931960,71.0,223546.0,62.0,0.0,Drillhole Original
19904375,-31.356213,121.505844,DRILLRC,931960,70.0,223545.0,36.0,0.0,Drillhole Original
19904360,-31.356213,121.505844,DRILLRC,931960,40.0,223530.0,95.0,0.0,Drillhole Original
19904355,-31.356213,121.505844,DRILLRC,931960,20.0,223525.0,96.0,0.0,Drillhole Original
19904371,-31.356213,121.505844,DRILLRC,931960,66.0,223541.0,107.0,0.0,Drillhole Original
19904385,-31.356213,121.505844,DRILLRC,931960,80.0,223555.0,29.0,0.0,Drillhole Original
19904363,-31.356213,121.505844,DRILLRC,931960,52.0,223533.0,113.0,0.0,Drillhole Original
19904370,-31.356213,121.505844,DRILLRC,931960,65.0,223540.0,133.0,0.0,Drillhole Original
19904369,-31.356213,121.505844,DRILLRC,931960,64.0,223539.0,103.0,0.0,Drillhole Original
19904368,-31.356213,121.505844,DRILLRC,931960,63.0,223538.0,87.0,0.0,Drillhole Original
19904367,-31.356213,121.505844,DRILLRC,931960,62.0,223537.0,76.0,0.0,Drillhole Original
19904366,-31.356213,121.505844,DRILLRC,931960,61.0,223536.0,82.0,0.0,Drillhole Original
19904365,-31.356213,121.505844,DRILLRC,931960,60.0,223535.0,87.0,0.0,Drillhole Original
19904364,-31.356213,121.505844,DRILLRC,931960,56.0,223534.0,81.0,0.0,Drillhole Original
19904359,-31.356213,121.505844,DRILLRC,931960,36.0,223529.0,91.0,0.0,Drillhole Original
19904354,-31.356213,121.505844,DRILLRC,931960,16.0,223524.0,207.0,0.0,Drillhole Original
19904353,-31.356213,121.505844,DRILLRC,931960,12.0,223523.0,92.0,0.0,Drillhole Original
19904352,-31.356213,121.505844,DRILLRC,931960,8.0,223522.0,93.0,0.0,Drillhole Original
19904393,-31.356213,121.505844,DRILLRC,931960,88.0,223563.0,48.0,0.0,Drillhole Original
19904389,-31.356213,121.505844,DRILLRC,931960,84.0,223559.0,24.0,0.0,Drillhole Original
19904361,-31.356213,121.505844,DRILLRC,931960,44.0,223531.0,101.0,0.0,Drillhole Original
19904356,-31.356213,121.505844,DRILLRC,931960,24.0,223526.0,245.0,0.0,Drillhole Original
19904362,-31.356213,121.505844,DRILLRC,931960,48.0,223532.0,92.0,0.0,Drillhole Original
19904386,-31.356213,121.505844,DRILLRC,931960,81.0,223556.0,30.0,0.0,Drillhole Original
19904351,-31.356213,121.505844,DRILLRC,931960,4.0,223521.0,110.0,0.0,Drillhole Original
19904384,-31.356213,121.505844,DRILLRC,931960,79.0,223554.0,38.0,0.0,Drillhole Original
29723627,-31.698414,121.62379,DRILLDD,1287807,-999.0,-999.0,9856.0,0.0,Drillhole Original
