SAMPLEID,LATITUDE,LONGITUDE,SAMPLETYPE,COLLARID,FROMDEPTH,TODEPTH,Cu_ppm,SPURIOUS,Dataset
19904453,-31.353035,121.50596,DRILLRC,931962,89.0,223623.0,45.0,0.0,Drillhole Original
19904422,-31.353035,121.50596,DRILLRC,931962,4.0,223592.0,108.0,0.0,Drillhole Original
19904425,-31.353035,121.50596,DRILLRC,931962,16.0,223595.0,129.0,0.0,Drillhole Original
19904424,-31.353035,121.50596,DRILLRC,931962,12.0,223594.0,95.0,0.0,Drillhole Original
19904423,-31.353035,121.50596,DRILLRC,931962,8.0,223593.0,84.0,0.0,Drillhole Original
19904428,-31.353035,121.50596,DRILLRC,931962,28.0,223598.0,97.0,0.0,Drillhole Original
19904427,-31.353035,121.50596,DRILLRC,931962,24.0,223597.0,93.0,0.0,Drillhole Original
19904426,-31.353035,121.50596,DRILLRC,931962,20.0,223596.0,140.0,0.0,Drillhole Original
19904454,-31.353035,121.50596,DRILLRC,931962,90.0,223624.0,65.0,0.0,Drillhole Original
19904451,-31.353035,121.50596,DRILLRC,931962,87.0,223621.0,15.0,0.0,Drillhole Original
19904463,-31.353035,121.50596,DRILLRC,931962,99.0,223633.0,78.0,0.0,Drillhole Original
19904462,-31.353035,121.50596,DRILLRC,931962,98.0,223632.0,44.0,0.0,Drillhole Original
19904461,-31.353035,121.50596,DRILLRC,931962,97.0,223631.0,89.0,0.0,Drillhole Original
19904460,-31.353035,121.50596,DRILLRC,931962,96.0,223630.0,89.0,0.0,Drillhole Original
19904459,-31.353035,121.50596,DRILLRC,931962,95.0,223629.0,179.0,0.0,Drillhole Original
19904458,-31.353035,121.50596,DRILLRC,931962,94.0,223628.0,269.0,0.0,Drillhole Original
19904457,-31.353035,121.50596,DRILLRC,931962,93.0,223627.0,58.0,0.0,Drillhole Original
19904456,-31.353035,121.50596,DRILLRC,931962,92.0,223626.0,52.0,1.0,Drillhole Original
19904455,-31.353035,121.50596,DRILLRC,931962,91.0,223625.0,296.0,0.0,Drillhole Original
