Dataset,g_lat,g_lon,Count
Drillhole Original,-606,2388,2455
Drillhole Original,-612,2401,2455
Drillhole Original,-627,2389,2452
Drillhole Original,-619,2333,2450
Drillhole Original,-629,2387,2448
Drillhole Original,-635,2432,2438
Drillhole Original,-574,2326,2423
Drillhole Original,-573,2327,2419
Drillhole Original,-640,2431,2356
Drillhole Original,-638,2395,2346
Drillhole Original,-619,2327,2341
Drillhole Original,-574,2325,2332
Drillhole Original,-594,2386,2309
Drillhole Original,-611,2378,2299
Drillhole Original,-651,2415,2295
Drillhole Original,-563,2335,2286
Drillhole Original,-594,2344,2276
Drillhole Original,-672,2403,2257
Drillhole Original,-691,2371,2212
Drillhole Original,-633,2392,2195
Drillhole Original,-638,2430,2173
Drillhole Original,-608,2399,2157
Drillhole Original,-569,2336,2152
Drillhole Original,-652,2415,2149
Drillhole Original,-581,2349,2148
Drillhole Original,-621,2328,2147
Drillhole Original,-579,2338,2122
Drillhole Original,-592,2390,2113
Drillhole Original,-648,2395,2108
Drillhole Original,-619,2328,2104
Drillhole Original,-624,2427,2103
Drillhole Original,-615,2390,2101
Drillhole Original,-594,2329,2092
Drillhole Original,-647,2394,2081
Drillhole Original,-555,2294,2043
Drillhole Original,-590,2382,2040
Drillhole Original,-581,2339,2036
Drillhole Original,-663,2367,2023
Drillhole Original,-640,2430,2015
Drillhole Original,-622,2326,2003
Drillhole Original,-647,2413,1971
Drillhole Original,-659,2401,1958
Drillhole Original,-566,2334,1958
Drillhole Original,-663,2395,1956
Drillhole Original,-584,2339,1950
Drillhole Original,-637,2431,1939
Drillhole Original,-663,2394,1939
Drillhole Original,-632,2391,1931
Drillhole Original,-630,2394,1929
Drillhole Original,-643,2396,1924
Drillhole Original,-628,2387,1909
Drillhole Original,-613,2401,1903
Drillhole Original,-610,2373,1897
Drillhole Original,-582,2338,1897
Drillhole Original,-591,2383,1888
Drillhole Original,-628,2429,1876
Drillhole Original,-679,2382,1876
Drillhole Original,-629,2332,1864
Drillhole Original,-623,2331,1861
Drillhole Original,-644,2395,1849
Drillhole Original,-643,2409,1837
Drillhole Original,-585,2336,1833
Drillhole Original,-691,2370,1812
Drillhole Original,-625,2372,1805
Drillhole Original,-644,2393,1804
Drillhole Original,-581,2340,1792
Drillhole Original,-608,2394,1772
Drillhole Original,-655,2396,1754
Drillhole Original,-579,2340,1738
Drillhole Original,-652,2393,1735
Drillhole Original,-613,2402,1720
Drillhole Original,-671,2401,1714
Drillhole Original,-633,2396,1710
Drillhole Original,-626,2373,1703
Drillhole Original,-614,2403,1674
Drillhole Original,-655,2326,1653
Drillhole Original,-588,2343,1652
Drillhole Original,-671,2402,1637
Drillhole Original,-641,2411,1632
Drillhole Original,-647,2393,1623
Drillhole Original,-638,2368,1616
Drillhole Original,-593,2387,1613
Drillhole Original,-630,2371,1609
Drillhole Original,-561,2317,1603
Drillhole Original,-657,2327,1581
Drillhole Original,-568,2334,1581
Drillhole Original,-621,2415,1577
Drillhole Original,-659,2390,1566
Drillhole Original,-611,2373,1551
Drillhole Original,-642,2405,1550
Drillhole Original,-614,2368,1546
Drillhole Original,-683,2320,1541
Drillhole Original,-584,2340,1513
Drillhole Original,-629,2389,1510
Drillhole Original,-622,2383,1507
Drillhole Original,-644,2396,1471
Drillhole Original,-569,2334,1456
Drillhole Original,-657,2328,1442
Drillhole Original,-656,2327,1441
Drillhole Original,-572,2355,1437
Drillhole Original,-662,2393,1433
Drillhole Original,-661,2392,1424
Drillhole Original,-621,2424,1419
Drillhole Original,-624,2372,1410
Drillhole Original,-593,2384,1406
Drillhole Original,-625,2387,1403
Drillhole Original,-581,2347,1392
Drillhole Original,-585,2338,1388
Drillhole Original,-593,2383,1388
Drillhole Original,-621,2423,1386
Drillhole Original,-650,2414,1382
Drillhole Original,-583,2335,1380
Drillhole Original,-668,2400,1369
Drillhole Original,-658,2400,1362
Drillhole Original,-601,2373,1359
Drillhole Original,-573,2338,1347
Drillhole Original,-589,2343,1343
Drillhole Original,-657,2400,1342
Drillhole Original,-570,2335,1340
Drillhole Original,-633,2391,1332
Drillhole Original,-638,2431,1328
Drillhole Original,-672,2404,1314
Drillhole Original,-645,2409,1309
Drillhole Original,-640,2433,1299
Drillhole Original,-579,2341,1297
Drillhole Original,-638,2347,1293
Drillhole Original,-619,2382,1282
Drillhole Original,-626,2418,1280
Drillhole Original,-586,2335,1279
Drillhole Original,-621,2416,1279
Drillhole Original,-620,2394,1261
Drillhole Original,-643,2434,1260
Drillhole Original,-667,2361,1259
Drillhole Original,-592,2383,1258
Drillhole Original,-643,2424,1227
Drillhole Original,-647,2412,1226
Drillhole Original,-626,2414,1218
Drillhole Original,-658,2328,1218
Drillhole Original,-560,2318,1215
Drillhole Original,-628,2368,1213
Drillhole Original,-613,2403,1204
Drillhole Original,-609,2336,1204
Drillhole Original,-621,2418,1197
Drillhole Original,-636,2431,1197
Drillhole Original,-650,2395,1193
Drillhole Original,-633,2433,1187
Drillhole Original,-618,2392,1187
Drillhole Original,-610,2400,1187
Drillhole Original,-639,2395,1186
Drillhole Original,-641,2379,1185
Drillhole Original,-639,2430,1180
Drillhole Original,-621,2333,1175
Drillhole Original,-638,2367,1168
Drillhole Original,-656,2384,1164
Drillhole Original,-610,2401,1162
Drillhole Original,-626,2388,1151
Drillhole Original,-567,2336,1149
Drillhole Original,-618,2332,1147
Drillhole Original,-629,2334,1146
Drillhole Original,-643,2392,1137
Drillhole Original,-649,2413,1136
Drillhole Original,-596,2387,1136
Drillhole Original,-633,2431,1128
Drillhole Original,-634,2392,1119
Drillhole Original,-584,2338,1115
Drillhole Original,-621,2420,1105
Drillhole Original,-597,2387,1102
Drillhole Original,-606,2321,1090
Drillhole Original,-671,2404,1082
Drillhole Original,-668,2418,1076
Drillhole Original,-643,2393,1073
Drillhole Original,-643,2394,1071
Drillhole Original,-597,2399,1062
Drillhole Original,-676,2360,1057
Drillhole Original,-624,2371,1053
Drillhole Original,-656,2374,1040
Drillhole Original,-570,2336,1026
Drillhole Original,-640,2395,1025
Drillhole Original,-624,2317,1024
Drillhole Original,-650,2420,1023
Drillhole Original,-656,2328,1011
Drillhole Original,-582,2340,1005
Drillhole Original,-629,2333,1004
Drillhole Original,-635,2433,1001
Drillhole Original,-641,2432,999
Drillhole Original,-656,2398,989
Drillhole Original,-674,2366,988
Drillhole Original,-627,2386,985
Drillhole Original,-616,2333,984
Drillhole Original,-582,2335,982
Drillhole Original,-582,2343,977
Drillhole Original,-594,2385,973
Drillhole Original,-622,2394,972
Drillhole Original,-628,2431,956
Drillhole Original,-614,2388,953
Drillhole Original,-630,2325,950
Drillhole Original,-626,2386,945
Drillhole Original,-644,2394,945
Drillhole Original,-584,2317,941
Drillhole Original,-565,2337,940
Drillhole Original,-636,2393,934
Drillhole Original,-602,2382,924
Drillhole Original,-578,2342,924
Drillhole Original,-625,2428,922
Drillhole Original,-634,2431,921
Drillhole Original,-601,2400,918
Drillhole Original,-566,2337,917
Drillhole Original,-595,2383,915
Drillhole Original,-670,2411,910
Drillhole Original,-653,2395,907
Drillhole Original,-650,2326,907
Drillhole Original,-641,2343,906
Drillhole Original,-621,2394,894
Drillhole Original,-674,2379,886
Drillhole Original,-599,2333,884
Drillhole Original,-652,2396,880
Drillhole Original,-617,2365,878
Drillhole Original,-675,2379,871
Drillhole Original,-625,2427,869
Drillhole Original,-600,2374,858
Drillhole Original,-580,2340,856
Drillhole Original,-571,2329,849
Drillhole Original,-616,2404,834
Drillhole Original,-610,2378,832
Drillhole Original,-654,2395,816
Drillhole Original,-634,2391,815
Drillhole Original,-607,2378,811
Drillhole Original,-627,2418,806
Drillhole Original,-577,2362,801
Drillhole Original,-620,2424,800
Drillhole Original,-656,2373,798
Drillhole Original,-645,2352,789
