,P1,P5,P10,P25,P50,P75,P90,P95,P99
Surface Original,-1.408935,-0.29243,0.30103,0.799341,1.322219,1.653213,1.857332,1.995635,2.363612
Surface DNN,-0.239578,0.192567,0.44576,1.106938,1.324427,1.45515,1.616108,1.777619,2.321813
