,P1,P5,P10,P25,P50,P75,P90,P95,P99
Drillhole Original,2.0,5.0,9.0,20.0,50.0,120.0,307.0,708.0,2906.0
Drillhole DNN,1.933,7.162,8.475,12.391,28.829,67.068,102.221,129.6138,267.032
