,P1,P5,P10,P25,P50,P75,P90,P95,P99
Drillhole Original,-5.0,-5.0,-5.0,-5.0,-5.0,1.477121,2.064458,2.361728,3.137987
Drillhole DNN,0.286232,0.855034,0.92814,1.093106,1.45983,1.826515,2.00954,2.112651,2.426563
