,P1,P5,P10,P25,P50,P75,P90,P95,P99
Surface Original,1e-05,0.34,2.0,6.0,21.0,44.2,72.0,98.725,230.0
Surface DNN,0.576,1.558,2.791,12.792,21.107,28.52,41.315,59.9265,209.80345
