SAMPLEID_dl,DLAT_dl,DLONG_dl,SAMPLETYPE_dl,Cu_ppm_dl,SAMPLEID_ori,DLAT_ori,DLONG_ori,SAMPLETYPE_ori,Cu_ppm_ori,SPURIOUS
11710717,-31.022058,121.190216,SHALL,8.045,7093947,-31.022058,121.190216,SHALL,0.058000002,0
11710481,-31.02022,121.19022,SHALL,20.073,7093640,-31.02022,121.19022,SHALL,0.072000004,0
11710259,-31.018406,121.19023,SHALL,17.093,7093350,-31.018406,121.19023,SHALL,0.089,0
10707934,-31.045046,121.19025,SOIL,4.084,10708245,-31.045046,121.19025,SOIL,51.4,0
11708250,-31.018929,121.190254,SHALL,31.845,7093400,-31.018929,121.190254,SHALL,0.045,0
11708343,-31.019354,121.19028,SHALL,47.828,7093494,-31.019354,121.19028,SHALL,0.051000003,0
11710155,-31.01755,121.190285,SHALL,14.019,7093211,-31.01755,121.190285,SHALL,0.045,0
11708146,-31.017965,121.1903,SHALL,52.141,7093261,-31.017965,121.1903,SHALL,0.055000003,0
10707897,-31.043224,121.190315,SOIL,3.327,10708208,-31.043224,121.190315,SOIL,62.0,0
7094385,-31.005327,121.190414,SHALL,33.995,7091943,-31.005327,121.190414,SHALL,0.052,0
7094335,-31.004906,121.190475,SHALL,35.365,7091893,-31.004906,121.190475,SHALL,0.162,0
7094311,-31.004454,121.19049,SHALL,30.095,7091869,-31.004454,121.19049,SHALL,0.058000002,0
11708853,-31.023418,121.19069,SHALL,55.485,7094156,-31.023418,121.19069,SHALL,0.086,0
11708825,-31.022905,121.1907,SHALL,58.43,7094108,-31.022905,121.1907,SHALL,0.102000006,0
11710612,-31.021624,121.1907,SHALL,23.621,7093839,-31.021624,121.1907,SHALL,0.045,0
11708715,-31.022482,121.190704,SHALL,51.652,7093996,-31.022482,121.190704,SHALL,0.040000003,0
11708571,-31.021147,121.190704,SHALL,59.653,7093792,-31.021147,121.190704,SHALL,0.055000003,0
11710497,-31.02065,121.19072,SHALL,18.012,7093689,-31.02065,121.19072,SHALL,0.020000001,0
11710482,-31.020271,121.19072,SHALL,3.968,7093642,-31.020271,121.19072,SHALL,0.05,0
11708692,-31.021994,121.190735,SHALL,60.703,7093948,-31.021994,121.190735,SHALL,0.044000003,0
11708967,-31.023834,121.19074,SHALL,49.801,9336593,-31.023834,121.19074,SHALL,78.0,0
11708344,-31.019287,121.19075,SHALL,59.865,7093495,-31.019287,121.19075,SHALL,0.072000004,0
11710385,-31.019794,121.19076,SHALL,17.191,7093543,-31.019794,121.19076,SHALL,0.086,0
10707933,-31.045061,121.19078,SOIL,3.431,10708244,-31.045061,121.19078,SOIL,55.0,0
11708249,-31.018892,121.19079,SHALL,59.154,7093399,-31.018892,121.19079,SHALL,0.067,0
11710156,-31.01752,121.19079,SHALL,8.02,7093212,-31.01752,121.19079,SHALL,0.025,0
11710171,-31.01798,121.190796,SHALL,10.701,7093260,-31.01798,121.190796,SHALL,0.062000003,0
11710260,-31.018433,121.1908,SHALL,4.674,7093351,-31.018433,121.1908,SHALL,0.043,0
10707898,-31.04325,121.19084,SOIL,3.299,10708209,-31.04325,121.19084,SOIL,56.9,0
10707890,-31.04141,121.19087,SOIL,3.327,10708201,-31.04141,121.19087,SOIL,51.1,0
7094384,-31.0053,121.190994,SHALL,19.54,7091942,-31.0053,121.190994,SHALL,0.037,0
7094336,-31.004904,121.19108,SHALL,33.149,7091894,-31.004904,121.19108,SHALL,0.040000003,0
7094310,-31.004461,121.19108,SHALL,34.182,7091868,-31.004461,121.19108,SHALL,0.034,0
11708968,-31.023912,121.19119,SHALL,60.972,9336594,-31.023912,121.19119,SHALL,94.0,0
11710878,-31.023354,121.19119,SHALL,33.56,7094155,-31.023354,121.19119,SHALL,0.108,0
11710598,-31.021172,121.1912,SHALL,3.421,7093793,-31.021172,121.1912,SHALL,0.055000003,0
11710852,-31.02292,121.19123,SHALL,30.668,7094109,-31.02292,121.19123,SHALL,0.054,0
11710611,-31.021578,121.19123,SHALL,7.964,7093838,-31.021578,121.19123,SHALL,0.055000003,0
11708714,-31.02248,121.19124,SHALL,60.957,7093995,-31.02248,121.19124,SHALL,0.029000001,0
11710496,-31.020685,121.19127,SHALL,3.652,7093688,-31.020685,121.19127,SHALL,0.043,0
11708358,-31.019756,121.19129,SHALL,60.607,7093542,-31.019756,121.19129,SHALL,0.054,0
10707932,-31.045069,121.1913,SOIL,3.431,10708243,-31.045069,121.1913,SOIL,52.0,0
11710157,-31.017582,121.1913,SHALL,10.879,7093213,-31.017582,121.1913,SHALL,0.038000003,0
11708693,-31.022001,121.19131,SHALL,59.139,7093949,-31.022001,121.19131,SHALL,0.036000002,0
11710483,-31.020271,121.19132,SHALL,3.555,7093643,-31.020271,121.19132,SHALL,0.038000003,0
11708248,-31.018908,121.19132,SHALL,60.655,7093398,-31.018908,121.19132,SHALL,0.033,0
11708144,-31.017962,121.19133,SHALL,53.413,7093259,-31.017962,121.19133,SHALL,0.062000003,0
11710371,-31.019314,121.19134,SHALL,26.06,7093496,-31.019314,121.19134,SHALL,0.026,0
10707899,-31.043247,121.19136,SOIL,3.063,10708210,-31.043247,121.19136,SOIL,66.5,0
11710261,-31.018421,121.19137,SHALL,3.529,7093352,-31.018421,121.19137,SHALL,0.049000002,0
10707889,-31.041435,121.19138,SOIL,3.063,10708200,-31.041435,121.19138,SOIL,50.7,0
11710853,-31.022982,121.19171,SHALL,28.627,7094110,-31.022982,121.19171,SHALL,0.040000003,0
11708469,-31.0207,121.19175,SHALL,23.592,7093687,-31.0207,121.19175,SHALL,0.048,0
11710877,-31.023344,121.19176,SHALL,18.29,7094154,-31.023344,121.19176,SHALL,0.034,0
11710720,-31.022081,121.191765,SHALL,5.284,7093950,-31.022081,121.191765,SHALL,0.038000003,0
11710610,-31.021576,121.191765,SHALL,13.739,7093837,-31.021576,121.191765,SHALL,0.035,0
11710372,-31.019339,121.191765,SHALL,3.735,7093497,-31.019339,121.191765,SHALL,0.05,0
11708573,-31.021189,121.19177,SHALL,43.474,7093794,-31.021189,121.19177,SHALL,0.051000003,0
11709763,-31.023867,121.19178,SHALL,38.354,11711789,-31.023867,121.19178,SHALL,72.7,0
11710739,-31.022514,121.191795,SHALL,14.223,7093994,-31.022514,121.191795,SHALL,0.016,0
11708458,-31.020277,121.191795,SHALL,59.28,7093644,-31.020277,121.191795,SHALL,0.033,0
11708357,-31.019781,121.191795,SHALL,61.022,7093540,-31.019781,121.191795,SHALL,0.09900001,0
10707931,-31.045067,121.19182,SOIL,3.137,10708242,-31.045067,121.19182,SOIL,85.4,0
11710158,-31.017553,121.191826,SHALL,3.482,7093214,-31.017553,121.191826,SHALL,0.108,0
11710169,-31.017967,121.19183,SHALL,4.545,7093258,-31.017967,121.19183,SHALL,0.054,0
11708247,-31.018862,121.19185,SHALL,61.102,7093397,-31.018862,121.19185,SHALL,0.067,0
10707900,-31.043255,121.19188,SOIL,3.299,10708211,-31.043255,121.19188,SOIL,62.1,0
11710262,-31.018475,121.19189,SHALL,4.678,7093353,-31.018475,121.19189,SHALL,0.059000004,0
10707888,-31.04145,121.19192,SOIL,3.145,10708199,-31.04145,121.19192,SOIL,44.4,0
11708712,-31.022537,121.19222,SHALL,25.044,7093993,-31.022537,121.19222,SHALL,0.039,0
11708850,-31.023396,121.19224,SHALL,25.511,7094153,-31.023396,121.19224,SHALL,0.054,0
11710854,-31.022955,121.19224,SHALL,44.746,7094111,-31.022955,121.19224,SHALL,0.048,0
11710494,-31.020699,121.19224,SHALL,3.829,7093686,-31.020699,121.19224,SHALL,0.067,0
11709762,-31.023848,121.19225,SHALL,31.666,11711788,-31.023848,121.19225,SHALL,37.4,0
11710609,-31.021646,121.19226,SHALL,11.888,7093836,-31.021646,121.19226,SHALL,0.065000005,0
11710721,-31.022097,121.19227,SHALL,6.839,7093951,-31.022097,121.19227,SHALL,0.051000003,0
11708356,-31.019823,121.19229,SHALL,29.032,7093539,-31.019823,121.19229,SHALL,0.028,0
